요리명,조리방법,조리분류,열량,탄수화물,단백질,지방,나트륨,재료
새우보리죽 고등어스테이크,끓이기,일품,541.5,88.4,25.3,9.6,140.7,"고등어 새우 보리 100g, 생강 10g,
레몬 막걸리 50g, 비트 50g, 설탕 20g, 식초 20g,
소금 0.2g"
소금없는 초밥,끓이기,밥,521.6,80.3,26.7,10.4,172,"참치 100g, 파프리카 50g, 아스파라거스 표고버섯
달걀 밥 200g, 김 10g, 다시마 100g, 무 30g,
가쓰오부시 20g, 와사비 20g, 식초 20g, 설탕 20g,
소금 0.1g"
잣소스새송이볶음,볶기,반찬,151.4,3.2,7.7,18.7,168.2,"새송이 버섯 30g, 빨간 파프리카 10g, 노란 파프리카 10g, 찹쌀가루 20g, 물 30g, 소금 0.25g, 올리브유 4g, 잣 5g, 꿀 0.5g, 우유 5g, 소금 0.25g"
더덕얼갈이겉절이,기타,반찬,35.5,4.6,2.6,1.3,448.4,"얼갈이 배추 50g, 더덕 20g, 까나리액젓 3g, 고춧가루 1.7g, 깨소금 1g, 다진 파 2.5g, 다진 마늘 1.25g, 다진 생강 0.65g, 소금 0.5g, 국간장 3g, 물 10g"
과일겨자채,기타,반찬,123.6,16.1,3.1,6.2,109.2,"사과 25g, 배 50g, 밤 10g, 대추 6g, 곶감 10g, 호두 5g, 땅콩 5g, 양상추 15g, 연겨자 1.25g, 연유 2.5g, 사과식초 2.5g, 꿀 3.5g, 배즙 2.5g"
콜라비물김치,기타,반찬,24.1,5.3,0.5,0.1,1178.3,"콜라비 10g, 당근 3g, 오이 6g, 청고추 2g, 홍고추 1g, 실파 0.5g, 소금 0.5g, 물 60g, 찹쌀가루 10g, 배 10g, 적양파 10g, 소금 1g"
고구마라떼,끓이기,후식,291.7,42.2,2.8,14.7,70,"고구마 90g, 우유 100g, 플레인 요거트 30g, 다진 호두 10g, 올리고당 7g, 계피가루 0.25g"
홍시곶감화채,기타,후식,173.2,38.1,1.56,3.44,3.1,"얼린 홍시 70g, 곶감 30g, 호두 10g, 꿀 20g, 물 70g"
오징어채소말이와 치킨양념소스,끓이기,반찬,106.4,8.2,15.8,1,382.1,"오징어 몸통 80g, 오이 20g, 빨강파프리카 20g, 노랑파프리카 20g,  토마토케첩 8g, 다진 양파 8g, 물엿 2g, 고추장 2g, 다진 마늘 2.5g"
옥수수감자샐러드,끓이기,반찬,248.6,14.8,10.9,16.1,212.7,"감자 70g, 달걀 60g, 옥수수알 10g, 완두콩알 5g, 빨강파프리카 5g, 마요네즈 12g, 호상요구르트 10g, 소금 0.15g"
홍합 쌀옹심이국,끓이기,국&찌개,317.2,46.8,11.7,8.3,498.8,"쌀가루 50g, 감자 25g, 홍합살 20g, 애호박 20g, 달걀노른자 20g, 양파 5g, 다진 파 5g, 국멸치 3g, 홍고추 2.5g, 청고추 2.5g, 다진 마늘 2.5g, 다시마 2g, 국간장 2g, 현미유 1g, 소금 0.3g, 물 250g"
찬밥김치달걀찜,찌기,반찬,134.2,12.2,7.9,5.7,465.7,"달걀 50g, 밥 30g, 쌀 13g, 김장김치 20g, 당근 5g, 양파 5g, 파 5g, 새우젓국물 2g, 물 100g"
꼬막떡꼬치구이,굽기,반찬,220.8,29.7,11.6,5.8,496.2,"꼬막 60g, 꼬막살 20g, 떡볶이떡 40g, 고추장 8g, 양파 10g, 파 5g, 조청 3g, 현미유 3g, 다진 마늘 2.5g, 간장 1g, 고춧가루 1g, 참기름 1g, 통깨 0.5g"
물파래콩전,굽기,반찬,181.5,15,10,9.9,124.1,"물파래 5g, 노란콩 25g, 불린것 52g, 우리밀가루 10g, 현미유 5g, 홍고추 2g, 물 120g, 간장 2g, 파 1g, 식초 0.5g, 통깨 0.2g"
카스텔라케이크와 해독주스,기타,후식,270.2,32.8,5.3,13.1,91.6,"카스텔라 100g, 꿀 15g, 견과류 15g, 요거트 30g, 체리 10g, 바나나 50g, 브로콜리 25g, 사과 50g, 당근 25g, 방울토마토 25g"
토마토김치,기타,반찬,80.2,13.8,3.8,1.1,109.5,"방울토마토 200g, 영양부추 20g, 양파 40g, 청고추 15g, 홍고추 15g, 바나나 40g, 배 40g, 고춧가루 15g, 매실청 10g, 간편 어간장 15g,
통깨 2g, 다진마늘 15g, 참기름 5g, 젓갈 5g"
닭가슴살스튜,끓이기,반찬,148.7,10.6,19.4,3.2,223.6,"닭가슴살 200g, 당근 30g, 양파 30g, 브로콜리 30g, 감자 40g,
방울토마토 100g, 우유 100g, 올리브유 15g, 토마토페이스트 100g, 다진마늘 15g, 밀가루 7g, 흰후추 3g"
가지겉절이,기타,반찬,109.1,16.2,3.8,3.2,344.3,"가지 250g, 양파 60g, 대파 25g, 청고추 15g, 홍고추 15g, 간편 어간장 15g, 고추장 15g, 생강청 15g, 다진마늘 5g, 통깨 7g, 매실청 10g, 고춧가루 10g, 식초 10g"
저염 동치미,기타,반찬,57.2,12.2,1.4,0.3,52.2,"함초 25g, 사과 100g, 양파 25g, 무 100g, 쪽파 10g, 청고추 20g,
홍고추 15g, 마늘 10g, 함초소금 2g, 찹쌀가루 15g, 매실청 30g"
장어수육구이,굽기,반찬,129,3.9,15.2,5.9,155.2,"장어 250g, 양파 70g, 통생강 20g, 생강청 15g, 씨겨자 15g, 통깨 5g, 매실청 15g"
울금해초밥,끓이기,밥,212,44,5,1.8,402.8,"울금가루 15g, 쌀 50g, 올리브오일 5g, 건조미역줄기 10g, 일본된장 15g, 다진양파 15g, 두부 50g, 다진마늘 3g, 고춧가루 2g, 참기름 15g"
미역줄기두부무침,기타,반찬,178.3,4.6,17.5,10,446.4,"건조미역줄기 10g, 두부 70g, 로즈마리 1g, 혼합견과류 25g, 맛간장 15g, 다진양파 15g, 다진마늘 5g, 흰후추 1g, 통깨 3g, 식초 5g"
맑은육개장,끓이기,국&찌개,87.4,6.8,9.8,2.3,115.8,"고사리 25g, 무 20g, 대파 20g, 양파 20g, 팽이버섯 10g, 볶은소금 1g, 다진마늘 10g, 소고기 양지 75g, 물 300g, 마늘 20g, 청양고추 25g, 맛간장 15g, 후추 1g, 다진마늘 4g, 다진대파 5g"
주꾸미보양샐러드,기타,반찬,132.7,3.2,20.3,4.3,191.8,"주꾸미 50g, 사과 60g, 더덕 40g, 양파 60g, 청고추 15g, 홍고추 15g, 마늘기름 30g, 식초 15g, 다진마늘 5g, 다진대파 5g, 레몬소금 1g, 흰후추 1g,
다진청고추 15g, 레몬즙 15g"
전복내장밥,끓이기,밥,279.8,42.8,12.7,6.4,183.8,"전복 100g, 칵테일새우 25g, 바지락살 25g, 당근 15g, 연근 25g, 단호박 25g,
찹쌀 50g, 다진마늘 7g, 참기름 15g, 소주 15g, 흰후추 1g, 마늘기름 15g"
카레감자전,굽기,반찬,186.9,29.5,4.2,5.8,491.9,"감자 150g, 유기농 밀가루 50g, 카레가루 15g, 양파 70g, 루콜라 3g, 마늘기름 30g, 발사믹식초 30g, 저염간장 15g, 설탕 15g"
두부채소샐러드,기타,반찬,154.2,10,7.5,9.4,40.1,"두부 100g, 건 표고버섯 10g, 치커리 15g, 홍고추 17g, 노란색 파프리카 25g, 방울토마토 40g, 요거트 50g, 겨자 2g, 꿀 15g, 레몬즙 15g"
더덕비트물김치,기타,반찬,43.8,8.9,1.8,0.1,107,"더덕 50g, 양파 60g, 청고추 15g, 홍고추 15g, 식초 10g, 비트 20g, 함초소금 5g, 생강청 30g, 식초 15g"
연어허브스테이크,굽기,반찬,455.5,3.5,47.3,28.1,256.4,"연어 150g, 로즈마리 3g, 레몬 10g, 올리브오일 30g,
 당근 20g, 양파 20g, 토마토 30g, 마늘 10g,
버터 5g, 밀가루 10g, 토마토 소스 50g,
육수 150g, 우유 50g, 월계수잎"
해물칼국수,끓이기,일품,184.6,27.4,12.7,2.7,150.3,"밀가루 180g, 소금 0.3g, 녹말가루 20g, 덧밀가루 50g,
애호박 20g, 느타리버섯 20g, 양파 20g, 대파 20g,
홍합 20g, 새우 20g, 미더덕 10g, 저염간장 10g,
 건새우 10g, 멸치 10g, 다시마 5g, 무 50g,
양파 20g, 마늘 20g"
버섯리조또,끓이기,밥,213.7,40.3,5.2,3.5,66.5,"양파 20g, 양송이 20g, 표고버섯 20g, 느타리버섯 20g,
버터 5g, 불린쌀 150g, 생크림 20g, 소금 0.05g,
 건새우 10g, 건멸치 20g, 마늘 10g, 다시마 5g,
물"
삼색소고기만두,끓이기,반찬,203.8,38.4,0.4,5.4,136.1,"애호박 30g, 소금 0.5g, 부추 30g, 숙주 30g, 두부 30g,
달걀 50g, 소고기 50g, 다진 파 20g, 다진 마늘 10g,
참기름 5g, 후춧가루 0.03g,
 시금치 30g, 소금 0.5g, 당근 30g, 들깨가루 30g,
밀가루 200g, 녹말가루 20g,
 양파 20g, 다시마 10g, 건새우 10g, 건멸치 20g"
콩가루비빔밥,볶기,밥,449.4,85.2,13,6.3,575.8,"청포묵 20g, 참기름 5g, 소금 0.5g,
달걀 50g, 소금 0.5g, 오이 20g, 당근 20g, 고사리 20g,
표고버섯 20g, 식용유 10g, 쌀밥 150g,
 소고기 15g, 대파 5g, 마늘 10g,
참기름 5g, 후춧가루 0.03g,
 고추장 20g, 콩가루 20g, 다진 소고기 15g"
인삼닭살찜,끓이기,반찬,145.4,19.4,14.1,1.3,253.4,"닭가슴살 200g, 소금 0.5g, 후춧가루 0.03g, 정종 10g,
대추 20g, 인삼 50g, 밤 20g, 표고버섯 30g,
새송이버섯 30g,치킨육수 100g"
양배추버섯말이,찌기,반찬,110.1,24.1,0,1.5,242.1,"양배추 120g, 미나리 20g, 느타리버섯 30g, 표고버섯 20g,
팽이버섯 20g, 당근 30g, 오이 30g, 소금 1g,
소고기 100g, 파 10g, 마늘 10g, 참기름 5g, 설탕 20g,
 저염간장 20g, 맛술 10g, 참기름 5g"
단호박떡갈비,찌기,반찬,274.1,34.9,20.1,6,196,"단호박 150g, 육수 100g, 다진소고기 100g,
다진 파 10g, 다진 마늘 10g, 다진 양파 30g,
참기름 5g, 저염간장 10g, 후춧가루 0.2g,
매실액 10g, 찹쌀가루 20g, 설탕 10g, 잣 10g"
배추만두탕,끓이기,국&찌개,51.1,5.5,5.3,0.9,160.9,"배추 100g, 미나리 20g, 두부  30g, 부추 20g,
표고버섯 20g, 느타리 20g, 소고기 30g, 저염간장 10g,
대파 10g, 마늘 10g, 참기름 10g, 통깨 3g,
후춧가루 0.05g,
 양지육 50g, 무 30g, 마늘 10g, 저염간장 10g"
해산물누들볶음,볶기,일품,488.6,47.9,17.1,25.4,274.5,"홍합 30g, 조개 30g, 표고버섯 20g, 양파 20g,
홍파프리카 20g, 피망 20g, 오징어 30g, 칵텔새우 20g,
스파게티 100g, 소금 0.5g, 올리브오일 20g, 마늘 20g,
커리가루 30g"
허브닭스테이크,굽기,반찬,200,13.2,31.2,2.5,275,"닭가슴살 150g, 우유 100g, 로즈마리 5g, 후춧가루 0.02g,
저염버터 10g,
 토마토 50g, 마늘 10g, 저염버터 10g,
양송이 20g, 토마토케첩 50g, 생크림 20g,
 당근 20g, 감자 20g, 브로컬리 30g"
새우완자찜,찌기,반찬,121,7,20.4,1.3,175.8,"새우 100g, 소금 0.5g, 후춧가루 0.02g,
다진소고기 30g, 마늘 10g, 브로컬리 20g, 당근 20g,
양파 20g, 소금 0.5g, 달걀 30g, 녹말 10g"
두부된장무침,기타,반찬,217.7,14.4,15.5,10.9,587.3,"두부 100g, 된장 20g, 쌈채 100g, 생크림 20g"
귀리죽,끓이기,밥,317.9,51.9,11.9,7,53.4,"귀리 100g, 쌀 30g, 양파 20g, 부추 20g, 소고기 20g,
참기름 5g, 달걀 50g, 흑임자 2g"
탕평채,기타,반찬,174.3,40.8,1.4,0.6,607.3,"청포묵 150g, 맛소금 1g, 참기름 5g, 소고기 30g,
저염간장 20g, 설탕 10g, 참기름 5g, 미나리 20g,
숙주 20g, 홍파프리카 20g, 달걀 30g, 김 3g, 통깨 3g,
 저염간장 10g, 설탕 10g, 식초 10g"
겨자소스를 곁들인 새우롤과 전복샐러드,기타,반찬,379.2,1.5,45.9,21.1,330.4,"새우 전복 연어 100g, 겨자가루 20g,
어린잎 30g, 요구르트 20g, 고추장 30g, 설탕 10g,
식초 10g, 소금 1g"
속채운대저토마토백김치,기타,반찬,76,15.1,3.5,0.2,278.5,"토마토 100g, 배춧잎 오이 50g, 무 50g, 양파 30g,
마늘 10g, 생강 5g, 소금 2g"
둥지튀김,튀기기,반찬,415.3,31.9,25.6,20.6,92.9,"닭고기 살코기 100g, 달걀 레몬 통계피 5g,
감자 150g, 어린잎 20g, 메추리알 소금 0.2g,
후춧가루 0.01g, 밀가루 50g, 전분 20g, 설탕 20g"
들깨죽,끓이기,일품,338.7,28.9,11.7,19.6,10.9,"사골육수 800g, 들깨가루 200g, 마늘 5g, 부추 20g,
홍고추 양파 30g, 당근 15g, 찹쌀 50g"
레몬크림콩다식,기타,후식,527.1,83.5,18.4,13.3,206.4,"콩가루 100g, 꿀 30g, 레몬 생크림 30g, 설탕 20g,
레몬제스트 20g"
룰룰랄라,볶기,반찬,242.5,34.2,12.9,6,55.5,"양상추 120g, 소고기 120g, 부추 100g, 닭고기 120g,
토마토 100g, 양파 50g, 전복 당근 20g,
양송이버섯 쌀 200g, 소금 0.3g"
매실소스를 곁들인 돼지고기만두,볶기,반찬,183.4,21,15.1,4.3,235.5,"돼지고기 안심 120g, 당면 50g, 애호박 당근 30g,
표고버섯 20g, 목이버섯 10g, 양파 50g, 마늘 20g,
토마토 100g, 매실액 50g, 후춧가루 0.2g"
머스터드튤립치킨,튀기기,반찬,342.4,5.1,21.5,26.2,290,"닭고기 어린잎 20g, 파슬리 5g, 머스터드 50g,
양파 50g, 마늘 20g, 레몬 튀김가루 100g,
소금 0.1g, 후추 0.01g, 식용유 400g"
머위향 통밀푸실리,볶기,일품,275.9,58,9.7,0.6,202.1,"머윗대 100g, 푸실리 50g, 올리브오일 20g, 마늘 10g,
양파 20g, 생크림 100g, 화이트와인 30g, 소금 0.2g"
미니함박스테이크,굽기,반찬,210.3,16.6,25.5,4.7,149.4,"소고기 100g, 돼지고기 100g, 대추 양파 50g,
마늘 10g, 새송이버섯 파프리카 50g, 배춧잎
단호박 당근 20g, 소금 0.3g, 후춧가루 0.02g,
배 저염간장 30g, 설탕 20g"
바다완자탕,끓이기,국&찌개,146.9,23,10.5,1.5,119.2,"새우 바지락 50g, 무 20g, 다시마 10g, 대파 20g,
가쓰오부시 10g, 달걀 전분 10g, 홍고추
풋고추"
봄옷을 입은 닭,튀기기,반찬,656.4,100.9,23.3,17.7,224.2,"닭고기 가슴살 100g, 취나물 20g, 달걀 애호박
당근 20g, 표고버섯 오이 50g, 파프리카 50g,
고구마 50g, 누룽지 20g, 소금 0.3g, 후춧가루 0.02g,
미나리 20g"
삼계치킨,굽기,일품,359.7,19.5,25.8,19.8,168.7,"닭고기 가슴살 120g, 인삼 양송이버섯
마늘 20g, 양파 30g, 깻잎 아스파라거스
오렌지 레몬 생크림 30g, 소금 0.3g,
후춧가루 0.2g, 대파 20g, 밀가루 20g"
삼계치킨롤,끓이기,반찬,281.2,21.6,28.4,9,151.4,"닭고기 인삼 대추 찹쌀 100g, 양파 50g,
대파 20g, 당근 20g, 마늘 20g, 생강 5g, 월계수잎
통후추"
새우완자탕,끓이기,국&찌개,13.4,13.2,12.2,1.3,141.6,"새우 청경채 20g, 달걀 치킨육수 200g,
전분 30g, 후춧가루 0.01g, 요리술 20g, 소금 0.2g"
아삭,기타,반찬,96.5,20.7,2.3,0.5,1016.3,"아스파라거스 당근 100g, 무 100g, 식초 200g,
설탕 200g, 월계수잎 통후추 소금 0.5g"
연어비트 절임샐러드,기타,반찬,327.9,1.6,29.6,22.6,152.6,"연어 150g, 비트 100g, 오렌지 양파 50g, 새싹 20g,
식용꽃 20g, 올리브오일 10g, 설탕 10g, 식초 10g,
소금 0.3g"
가지나물냉국,끓이기,반찬,28.7,4.9,1.5,0.7,540,"가지 50g, 다진 청양고추 2.5g, 다진 홍고추 2.5g, 다진 실파 2.5g, 다진 마늘 1.25g, 국간장 3g,  다시마국물 100g, 건다시마 5g, 사과식초 1.25g, 감식초 1.25g, 소금 0.5g, 통깨 1g"
수삼매운닭찜,찌기,반찬,320.6,37,21.8,11.2,684.5,"토막 낸 닭 170g, 닭고기살 무게 90g, 수삼 25g, 건표고버섯 8g, 건표고버섯 불릴 물 150g, 감자 20g, 양파 25g, 당근 10g, 건청양고추 2.5g, 건당면 5g, 대파 10g, 다진 마늘 4g,  간장 10g, 황설탕 8g, 올리고당 9g, 노두유 1g, 후추 0.25g"
수박즙돼지목심구이,굽기,반찬,229,6.8,197.5,16.1,199.8,"돼지고기 목심 70g, 올리브유 2g, 후추 0.25g,  수박 15g, 간장 3g, 설탕 2g, 물엿 3g, 다진 마늘 2g, 후추 0.25g"
별미병어조림,끓이기,반찬,174,12.9,11,8.9,706.9,"병어 60g, 소금 1g, 물 100g, 무 40g, 양파 25g, 풋고추 10g, 홍고추 2.5g, 대파 5g,  된장 2g, 고추장 6g, 굵은 고춧가루 1.7g, 고운 고춧가루 0.85g, 맛술 5g, 매실액 6g, 다진 마늘 2g, 생강즙 1g, 참기름 1.5g, 후추 0.25g"
비름나물겉절이,기타,반찬,29.4,2.5,3.6,1,381.3,"비름나물 30g, 소금물 물 100g, 소금 3g,  까나리액젓 1.5g, 국간장 1.5g, 물 15g, 고춧가루 1.7g, 매실액 6g, 통깨 1g, 다진 파 2.5g, 다진 마늘 1g"
깻잎단호박튀김,튀기기,반찬,124.7,13.4,2.1,7.5,2.2,"깻잎 5g, 단호박 30g, 호두 5g, 꿀 3g, 찹쌀가루 10g, 물 15g, 콩기름 4g"
냉머위들깨나물,기타,반찬,73.1,4.9,3.8,4.7,395.8,"머위대 70g, 들기름 2g, 쪽파 5g, 물 100g,  거피들깨가루 6g, 국간장 3g, 다진 파 2.5g, 다진 마늘 1g, 소금 0.5g"
수박껍질풋고추볶음,볶기,반찬,41.2,1.2,0.6,4,339.1,"수박 속껍질 50g, 풋고추 15g, 홍고추 5g, 포도씨유 4g, 소금 1g, 절일 때 0.5g, 간 맞출 때 0.5g"
우무오미자냉화채,기타,후식,71.3,14.4,1.65,0.88,17,"오미자 10g, 물 200g, 올리고당 14g, 우무묵 20g"
포도호두스무디,기타,후식,159.8,24.1,4.5,5.8,26.5,"얼린포도알 80g, 오미자액 15g, 호상요구르트 30g, 깐호두 5g"
전복영양밥과 부추양념장,끓이기,밥,387.2,77.5,12.8,1.9,459.9,"쌀 90g, 전복살 40g, 양송이 버섯 13g, 표고버섯 15g, 당근 15g, 건다시마 5g,물 400g,  다시마국물 5g, 부추 5g, 간장 5g, 실파 2.5g, 다진 마늘 2.5g, 참기름 0.5g, 통깨 0.5g"
근대쌈밥과 멸치견과류쌈장,기타,밥,407.3,76.1,11.7,6.1,456.8,"쌀 70g, 현미 10g, 보리쌀 10g, 근대 50g, 물 400g, 국멸치 2g, 건다시마 2.5g,  다시마국물 10g, 양파 3g, 된장 2.5g, 파 2.5g, 고추장 2.5g, 잔멸치 2.5g, 호두 2.5g, 잣 2.5g, 땅콩 2.5g, 다진 마늘 2.5g, 매실액 2.5g"
장어조림,끓이기,반찬,190.1,21,14.1,505,1236.7,"장어 150g, 깻잎 10g, 청고추17g, 홍고추 17g, 양파 60g, 생강 15g, 맛간장 25g, 올리고당 15g, 청주 15g, 참기름 15g, 흰후추 1g,
통깨 5g, 통마늘 20g, 대파 10g"
통삼겹스테이크,굽기,일품,472.2,18.8,19.9,35.3,193.7,"통삼겹 200g, 건로즈마리 1g, 로즈마리 2g, 올리브유 15g, 백일송이 30g, 당근 20g, 양파 60g, 2가지색 미니파프리카 30g, 양파 60g, 식초 15g, 설탕 1g, 감자 100g, 버터 10g, 우유 30g, 된장 15g, 다진마늘 15g, 다진양파 15g, 플레인요구르트 30g, 설탕 15g, 볶은현미 25g"
저염된장 삼치구이,굽기,반찬,196.3,5.8,18.9,10.8,168.8,"삼치 140g, 치커리 35g, 전분가루 10g,
 일본된장 5g, 청주 5g,
 유자청 15g, 다진마늘 5g, 청고추 15g, 홍고추 20g"
미역전복죽,끓이기,밥,247.9,48.3,4.9,3.9,140.9,"전복 100g, 찹쌀 70g, 당근 25g, 다시마 사방 10x10cm
건조 자른미역 3g, 참기름 15g, 검정깨 5g"
불고기미니볼,튀기기,반찬,346,32.9,15,17.2,120.8,"다진소고기 40g, 다진양파 15g, 빵가루 30g, 계란 60g, 밀가루 15g,
식용유 200g, 단호박 25g, 감자 25g, 로즈마리 1g, 참기름 5g, 맛간장 15g, 생강청 15g, 흰후추 1g, 다진마늘 1g, 통깨 1g, 딸기잼 30g, 오미자청 15g, 물 30g"
치자연근물김치,기타,반찬,80.9,17.3,1.6,0.6,106,"연근 200g, 당근 40g, 미나리 20g, 청고추 15g, 홍고추 18g, 알마늘 12g,
치자가루 15g, 생강청 30g, 식초 15g, 볶은소금 5g, 설탕 7g"
훈제연어롤,끓이기,반찬,322.1,11.8,47.9,9.3,696.1,"훈제연어 100g, 양파 20g, 피클 20g, 후춧가루 0.02g,
 오렌지 30g, 오렌지 주스 20g, 설탕 10g, 레몬 10g,
물녹말 10g, 스위트칠리 20g,
 아스파라거스 20g, 어린잎 10g"
크림닭,볶기,반찬,435.5,15,52,18.6,632.5,"닭가슴살 120g, 우유 100g, 소금 0.5g, 후춧가루 0.02g,
밀가루 10g, 달걀 50g, 빵가루 20g, 튀김기름 100g,
양송이버섯 30g, 양파 20g, 버터 10g, 크림소스 20g,
캐슈넛 20g, 생크림 20g, 모짜렐라치즈 20g,
 어린잎 10g, 파슬리가루 0.5g"
등심채소롤,튀기기,반찬,531.8,52.5,26.5,23.9,522.4,"돼지등심 100g, 소금 0.3g, 후춧가루 0.05g,
파프리카 30g, 시금치 30g, 파인애플 30g, 치즈 30g,
밀가루 20g, 달걀 50g, 빵가루 30g, 튀김기름 200g,
 칠리소스 30g, 설탕 10g, 물녹말 녹말가루5g, 물 5g"
유부완자탕,끓이기,국&찌개,297.5,10.1,24.8,17.6,325.3,"유부 50g, 두부 30g, 새우 50g, 배추 30g, 표고버섯 30g,
양파 30g, 당근 30g, 마늘 10g, 저염소금 0.5g,
후춧가루 0.05g, 미나리 20g, 육수 200g, 저염간장 20g"
미니밥버거,굽기,밥,530.9,80,18,15.4,125.1,"찹쌀 100g, 현미쌀 50g, 올리브오일 10g, 버터 10g,
 다진소고기 50g, 양파 20g, 마늘 10g,
빵가루 10g, 생크림 10g, 으깬두부 20g,
소금 0.2g, 후춧가루 0.02g,
 마요네즈 20g, 치즈 30g, 토마토 30g"
파프리카볶음밥,볶기,밥,309,31.9,23.1,9.9,245.3,"당근 20g, 쥬키니호박 20g, 표고버섯 10g, 양송이버섯 10g,
파인애플 20g, 버터 10g, 밥 50g, 닭고기살 30g,
다진마늘 10g, 저염간장 10g, 양파 20g, 올리고당 10g,
토마토 페스트 10g, 토마토 20g, 파프리카  50g, 달걀 30g,
모짜렐라치즈 20g, 파슬리가루 0.5g"
리코타치즈돈가스,튀기기,일품,476.4,32.8,26.2,26.7,328.5,"돼지등심 120g, 소금 0.3g, 후춧가루 0.03g, 올리브오일 10g,
밀가루 10g, 달걀 50g, 빵가루 20g, 튀김기름 200g,
 우유 50g, 레몬즙 10g, 모짜렐라치즈 10g,
 양파 20g, 토마토 30g, 마늘 10g, 사과 20g,
케첩 20g, 돈가스소스 20g"
삼겹살부추찜,찌기,반찬,656.6,16.6,32.8,51,718.8,"삼겹살 150g, 생강 20g, 양파 20g, 월계수잎 3g,
통후추 5g, 소주 10g, 된장 10g, 부추 50g,
편마늘 20g, 홍고추 10g,
 저염간장 20g, 물 100g, 설탕 20g,
올리고당 20g, 통후추 5g, 생강 10g,
물녹말 녹말 10g, 물 10g"
전복죽,끓이기,밥,225.9,36,17.6,1.3,109.9,"쌀 50g, 전복 50g, 새우살 20g,양송이 20g, 당근 10g,
참기름 10g, 잣 10g,
 저염간장 5g"
오징어토마토초무침,끓이기,반찬,155.7,27.7,7.4,1.7,410.1,"오징어 100g, 미나리 20g, 소금 0.3g, 토마토 50g,
양파 20g, 청고추 10g, 홍고추 10g, 대파 10g,
당근 20g, 통깨 5g,
 토마토 50g, 고추장 20g, 식초 10g,
생강즙 10g, 올리고당 20g"
들깨칼국수,끓이기,일품,255.6,37.4,7.7,8.3,76.5,"밀가루 100g, 녹말가루 10g, 식용유 10g, 소금 0.2g,
달걀 50g, 애호박 20g, 홍고추 10g, 들깨가루 30g,
 건새우 10g, 멸치 20g, 양파 20g, 다시마 10g,
마늘 10g, 무 50g"
